session,device,channel,region,quarter,start_min,p2p_median_uv,pct_windows_over_common,pops_per_min
gng_flex,flex,P8,parietal,2,6.831353816553626,23.316774579734616,5.507246376811594,1.3936106227475615
gng_flex,flex,CP2,centro-parietal,2,6.831353816553626,31.1489861818051,4.63768115942029,1.0452079670606713
gng_flex,flex,CP6,centro-parietal,2,6.831353816553626,20.847474184189604,2.898550724637681,0.0
gng_flex,flex,C3,central,3,9.701596002361475,13.77335872626007,0.872093023255814,0.0
gng_flex,flex,T7,central,3,9.701596002361475,19.935639828690775,3.1976744186046515,1.0452079670606713
gng_flex,flex,FC1,fronto-central,3,9.701596002361475,37.7137607940537,2.616279069767442,0.3484026556868904
gng_flex,flex,FC5,fronto-central,3,9.701596002361475,16.28891101177236,0.5813953488372093,0.0
gng_flex,flex,FT9,fronto-central,3,9.701596002361475,32.221600095566004,6.104651162790697,0.6968053113737808
gng_flex,flex,F3,frontal,3,9.701596002361475,21.479386325231847,0.29069767441860467,0.0
gng_flex,flex,F7,frontal,3,9.701596002361475,22.471894453798733,5.523255813953488,0.0
gng_flex,flex,Fp1,prefrontal,3,9.701596002361475,21.297943386798025,4.3604651162790695,0.3484026556868904
gng_flex,flex,Pz,parietal,3,9.701596002361475,16.375924062288597,4.941860465116279,0.6968053113737808
gng_flex,flex,Cz,central,3,9.701596002361475,17.416079726097564,1.744186046511628,0.0
gng_flex,flex,O1,occipital,3,9.701596002361475,45.195523601137225,5.813953488372093,1.0452079670606713
gng_flex,flex,PO9,occipital,3,9.701596002361475,41.234716496118494,9.011627906976743,0.6968053113737808
gng_flex,flex,P3,parietal,3,9.701596002361475,18.29429538243088,3.77906976744186,0.6968053113737808
gng_flex,flex,P7,parietal,3,9.701596002361475,24.37499559335323,4.651162790697675,0.3484026556868904
gng_flex,flex,CP1,centro-parietal,3,9.701596002361475,16.25616999530383,6.104651162790697,0.6968053113737808
gng_flex,flex,CP5,centro-parietal,3,9.701596002361475,15.85012356876717,2.616279069767442,0.6968053113737808
gng_flex,flex,C4,central,3,9.701596002361475,15.518345965903581,2.0348837209302326,0.0
gng_flex,flex,T8,central,3,9.701596002361475,28.71096057367371,6.686046511627906,1.0452079670606713
gng_flex,flex,FC2,fronto-central,3,9.701596002361475,14.994004932719225,1.744186046511628,0.3484026556868904
gng_flex,flex,FC6,fronto-central,3,9.701596002361475,21.37133049632657,3.1976744186046515,0.0
gng_flex,flex,FT10,fronto-central,3,9.701596002361475,34.00386367488438,12.209302325581394,1.742013278434452
gng_flex,flex,F4,frontal,3,9.701596002361475,19.67247125740286,2.616279069767442,0.0
gng_flex,flex,F8,frontal,3,9.701596002361475,21.70959371382216,5.232558139534884,0.0
gng_flex,flex,Fp2,prefrontal,3,9.701596002361475,16.65197779420189,3.488372093023256,0.0
gng_flex,flex,Oz,occipital,3,9.701596002361475,45.938779954168,9.593023255813954,2.0904159341213426
gng_flex,flex,Fz,frontal,3,9.701596002361475,17.3143575446853,0.872093023255814,0.0
gng_flex,flex,O2,occipital,3,9.701596002361475,28.360789461405226,5.232558139534884,0.6968053113737808
gng_flex,flex,PO10,occipital,3,9.701596002361475,26.97724871307338,10.174418604651162,0.6968053113737808
gng_flex,flex,P4,parietal,3,9.701596002361475,15.581818316774381,6.104651162790697,1.0452079670606713
gng_flex,flex,P8,parietal,3,9.701596002361475,24.302184324726664,4.3604651162790695,1.0452079670606713
gng_flex,flex,CP2,centro-parietal,3,9.701596002361475,25.05484786170461,4.3604651162790695,0.3484026556868904
gng_flex,flex,CP6,centro-parietal,3,9.701596002361475,21.978215619295,4.941860465116279,0.3484026556868904
gng_flex,flex,C3,central,4,12.571838188169325,13.66402505261394,0.0,0.0
gng_flex,flex,T7,central,4,12.571838188169325,19.44474881546936,0.0,0.0
gng_flex,flex,FC1,fronto-central,4,12.571838188169325,32.8605196785483,0.0,0.0
gng_flex,flex,FC5,fronto-central,4,12.571838188169325,16.562682576520103,0.0,0.0
gng_flex,flex,FT9,fronto-central,4,12.571838188169325,32.02458748670999,0.0,0.0
gng_flex,flex,F3,frontal,4,12.571838188169325,18.9777772570444,1.461988304093567,0.3484026556868904
gng_flex,flex,F7,frontal,4,12.571838188169325,22.67412607838456,0.0,0.0
gng_flex,flex,Fp1,prefrontal,4,12.571838188169325,21.48826491558535,0.0,0.0
gng_flex,flex,Pz,parietal,4,12.571838188169325,17.82442624736153,0.0,0.0
gng_flex,flex,Cz,central,4,12.571838188169325,17.223473674051903,0.0,0.0
gng_flex,flex,O1,occipital,4,12.571838188169325,45.869871438821505,0.0,0.0
gng_flex,flex,PO9,occipital,4,12.571838188169325,39.986344369699005,3.216374269005848,0.6968053113737808
gng_flex,flex,P3,parietal,4,12.571838188169325,19.50886689636352,0.29239766081871343,0.3484026556868904
gng_flex,flex,P7,parietal,4,12.571838188169325,24.08834171660672,0.0,0.0
gng_flex,flex,CP1,centro-parietal,4,12.571838188169325,16.980183315544846,0.0,0.0
gng_flex,flex,CP5,centro-parietal,4,12.571838188169325,15.52609141946516,0.0,0.0
gng_flex,flex,C4,central,4,12.571838188169325,16.500832129411947,0.0,0.0
gng_flex,flex,T8,central,4,12.571838188169325,26.700842502042974,0.0,0.0
gng_flex,flex,FC2,fronto-central,4,12.571838188169325,15.359118823186172,0.0,0.0
gng_flex,flex,FC6,fronto-central,4,12.571838188169325,20.851452915755203,0.0,0.0
gng_flex,flex,FT10,fronto-central,4,12.571838188169325,30.195403946875885,1.1695906432748537,0.3484026556868904
gng_flex,flex,F4,frontal,4,12.571838188169325,19.44585615579973,0.0,0.0
gng_flex,flex,F8,frontal,4,12.571838188169325,21.634442964525128,0.0,0.0
gng_flex,flex,Fp2,prefrontal,4,12.571838188169325,16.611732937720376,0.0,0.0
gng_flex,flex,Oz,occipital,4,12.571838188169325,49.3772173878865,0.8771929824561403,0.3484026556868904
gng_flex,flex,Fz,frontal,4,12.571838188169325,17.410671186987,0.0,0.0
