session,device,channel,region,state,pair,duration_s,hf_20_40_uv_rms,p2p_median_uv,p2p_p99_over_median,pct_windows_over_common,rail_pct,marked_bad
oddball_flex,flex,FT10,fronto-central,closed,1,56.9546,2.020268708030249,25.946468055693906,10.570568907058092,3.508771929824561,0.6358470486657252,False
oddball_flex,flex,F4,frontal,closed,1,56.9546,1.2572788717779548,20.531735659683548,3.0030597617966595,0.0,0.7375825764522412,False
oddball_flex,flex,F8,frontal,closed,1,56.9546,1.2657878769489537,17.351227760857668,2.3617773566758498,0.0,0.8895165554492093,False
oddball_flex,flex,Fp2,prefrontal,closed,1,56.9546,0.8925397747456126,13.23803914649921,2.5063057584757313,0.0,2.0380571191443506,False
oddball_flex,flex,Oz,occipital,closed,1,56.9546,2.381364300821955,24.441399895511775,3.351737068921882,0.0,0.6418708628109794,False
oddball_flex,flex,Fz,frontal,closed,1,56.9546,1.0868811585690388,15.14842311671346,4.095276127712876,0.0,0.34536534432790966,False
oddball_flex,flex,O2,occipital,closed,1,56.9546,3.3082915839366343,30.526427671741068,6.421229531471883,1.7543859649122806,1.211455955878908,False
oddball_flex,flex,PO10,occipital,closed,1,56.9546,1.7613197219024186,21.340482737969605,6.287340813820979,2.631578947368421,0.9490853842189456,True
oddball_flex,flex,P4,parietal,closed,1,56.9546,1.2986281762133387,15.321863049237862,2.103672504259868,0.0,0.3005213945799059,False
oddball_flex,flex,P8,parietal,closed,1,56.9546,2.1348099691598423,22.02019785880381,2.267885096949068,0.0,1.1679506314965162,False
oddball_flex,flex,CP2,centro-parietal,closed,1,56.9546,1.003793047800686,12.788536050309736,2.0220367275653994,0.0,0.6204528569611866,False
oddball_flex,flex,CP6,centro-parietal,closed,1,56.9546,1.802354622649529,18.805396406702307,1.5159838450430896,0.0,0.6733285589028627,False
oddball_flex,flex,C3,central,open,1,33.893,1.0357921956961027,13.28377255780139,1.763400719177318,0.0,0.33800290481704337,False
oddball_flex,flex,T7,central,open,1,33.893,1.6643973567897508,24.72580317368573,1.9198111928284927,0.0,0.15996573119064034,False
oddball_flex,flex,FC1,fronto-central,open,1,33.893,1.2348019687650849,19.84987227435844,2.5107024071195987,0.0,0.2958362058002637,False
oddball_flex,flex,FC5,fronto-central,open,1,33.893,1.893098185700054,21.921931920113717,1.7051193826401978,0.0,0.33800290481704337,False
oddball_flex,flex,FT9,fronto-central,open,1,33.893,2.190488642421384,39.27955601765325,1.8541863718862142,0.0,0.17736786094359702,False
oddball_flex,flex,F3,frontal,open,1,33.893,2.0328724183499634,21.462704643299013,2.50135776920456,0.0,0.5334422081964031,False
oddball_flex,flex,F7,frontal,open,1,33.893,1.9773242915758065,26.935696045368132,2.189895463727496,0.0,0.4819051316203391,False
oddball_flex,flex,Fp1,prefrontal,open,1,33.893,3.018134280254973,29.43709580782141,2.5997420804976663,0.0,2.596263896604577,False
oddball_flex,flex,Pz,parietal,open,1,33.893,1.320884888442028,17.998124982689276,6.275998978086454,0.0,0.19075411459971756,False
oddball_flex,flex,Cz,central,open,1,33.893,1.0371576998767271,15.828765744386011,1.8339512022676483,0.0,0.3895399813931074,False
oddball_flex,flex,O1,occipital,open,1,33.893,4.366028484542001,42.25401509805565,2.2102755345785914,0.0,3.054743084326705,False
oddball_flex,flex,PO9,occipital,open,1,33.893,2.774274156610588,59.03942983839183,6.167441228679012,26.47058823529412,1.364059247558682,True
oddball_flex,flex,P3,parietal,open,1,33.893,1.4623220659920144,17.84316898051719,1.5192653323898406,0.0,0.3226087131125048,False
oddball_flex,flex,P7,parietal,open,1,33.893,2.1036934716729423,25.929883257183654,1.8186541198067323,0.0,0.3848547926134652,False
oddball_flex,flex,CP1,centro-parietal,open,1,33.893,0.9889927704478788,16.724656239416834,1.7679847436271245,0.0,0.35473572188719404,False
oddball_flex,flex,CP5,centro-parietal,open,1,33.893,1.2697504168497202,15.898208812120732,1.6437983745462386,0.0,0.17602923557798497,False
oddball_flex,flex,C4,central,open,1,33.893,1.1918927840229663,15.81693909753421,1.7487259755934623,0.0,0.5836406594068551,False
oddball_flex,flex,T8,central,open,1,33.893,2.1374073639386078,27.979725562517288,2.2610133064427784,0.0,0.7884503403454992,False
oddball_flex,flex,FC2,fronto-central,open,1,33.893,1.303179798268458,16.135264869383526,1.8868503792408478,0.0,0.3098917721391902,False
oddball_flex,flex,FC6,fronto-central,open,1,33.893,1.6979835837014472,19.737821412319704,4.0928894543802645,0.0,0.6519105530530698,False
oddball_flex,flex,FT10,fronto-central,open,1,33.893,2.0904138680891733,37.550801810605215,3.342286482048623,1.4705882352941175,0.6358470486657252,False
oddball_flex,flex,F4,frontal,open,1,33.893,2.461285293868981,28.28213752647942,1.7392487763455204,0.0,0.7375825764522412,False
oddball_flex,flex,F8,frontal,open,1,33.893,1.5231315321136232,21.556973029638897,1.8107371095048317,0.0,0.8895165554492093,False
oddball_flex,flex,Fp2,prefrontal,open,1,33.893,1.3911114340741038,18.213947847539316,1.678054011904475,0.0,2.0380571191443506,False
oddball_flex,flex,Oz,occipital,open,1,33.893,2.302559378022879,32.28025139983255,2.571525604920054,0.0,0.6418708628109794,False
oddball_flex,flex,Fz,frontal,open,1,33.893,1.5881619227100485,19.764779749207065,2.7154418787794357,0.0,0.34536534432790966,False
oddball_flex,flex,O2,occipital,open,1,33.893,3.500968478398617,43.723671620419864,4.779249828408541,10.294117647058822,1.211455955878908,False
oddball_flex,flex,PO10,occipital,open,1,33.893,2.072801887802364,33.08601196698308,3.6073267903939805,1.4705882352941175,0.9490853842189456,True
oddball_flex,flex,P4,parietal,open,1,33.893,1.4078524720703904,18.413638855445456,1.709492508158016,0.0,0.3005213945799059,False
oddball_flex,flex,P8,parietal,open,1,33.893,2.28065731180355,28.434704182700813,2.667240694998998,0.0,1.1679506314965162,False
oddball_flex,flex,CP2,centro-parietal,open,1,33.893,1.0552295244925243,15.642157631432962,1.6350777887651406,0.0,0.6204528569611866,False
oddball_flex,flex,CP6,centro-parietal,open,1,33.893,2.1977255773768665,21.900995379509475,2.4188493185457047,0.0,0.6733285589028627,False
oddball_flex,flex,C3,central,closed,2,63.735,0.9418872399225408,13.4058573045027,48.286070364628415,4.724409448818897,0.33800290481704337,False
oddball_flex,flex,T7,central,closed,2,63.735,1.2037944226466661,19.939115744115245,2.921644475795143,0.0,0.15996573119064034,False
oddball_flex,flex,FC1,fronto-central,closed,2,63.735,1.0591552691596426,17.38282481098043,2.1402185589736247,0.0,0.2958362058002637,False
oddball_flex,flex,FC5,fronto-central,closed,2,63.735,1.3139395561829184,18.174053090126506,1.7090937469835064,0.0,0.33800290481704337,False
oddball_flex,flex,FT9,fronto-central,closed,2,63.735,1.6656249920893622,25.35791778024596,1.8260312378730654,0.0,0.17736786094359702,False
oddball_flex,flex,F3,frontal,closed,2,63.735,1.0714128203834419,15.698323122608146,2.672262898992019,0.0,0.5334422081964031,False
oddball_flex,flex,F7,frontal,closed,2,63.735,1.3490754219233423,19.42002761320426,2.229408691887716,0.0,0.4819051316203391,False
oddball_flex,flex,Fp1,prefrontal,closed,2,63.735,1.4558764618443287,20.896690090903043,7.7561699511522315,3.149606299212598,2.596263896604577,False
oddball_flex,flex,Pz,parietal,closed,2,63.735,1.167316069341639,13.874627393795421,2.2919205232774376,0.0,0.19075411459971756,False
oddball_flex,flex,Cz,central,closed,2,63.735,0.9209388525085401,13.831168876005815,1.599793731405584,0.0,0.3895399813931074,False
oddball_flex,flex,O1,occipital,closed,2,63.735,4.10994039730402,33.81989798546925,9.406747174482755,3.149606299212598,3.054743084326705,False
oddball_flex,flex,PO9,occipital,closed,2,63.735,2.193287156281557,32.456974470137524,1.924752996999218,0.0,1.364059247558682,True
oddball_flex,flex,P3,parietal,closed,2,63.735,1.402023446149886,16.24754025650493,1.4842774039045685,0.0,0.3226087131125048,False
oddball_flex,flex,P7,parietal,closed,2,63.735,1.765572595164527,21.474693538851948,1.4321053939452448,0.0,0.3848547926134652,False
oddball_flex,flex,CP1,centro-parietal,closed,2,63.735,0.9330703868281531,12.451451605898114,1.5523439895512077,0.0,0.35473572188719404,False
