time,value,condition,sample,sample_error_ms,pressed,correct,rt_from_marker_s,block
769.0597,GnG-low,nogo,98429,2.152562648689127,False,True,,1
770.556,GnG-low,nogo,98620,-1.7239664043700031,False,True,,1
772.2373,GnG-low,nogo,98835,-3.250816363333797,False,True,,1
773.7915,GnG-low,nogo,99034,-2.563201626571754,False,True,,1
775.2909,GnG-low,nogo,99226,-1.7636143966228701,False,True,,1
777.1033,GnG-low,nogo,99458,-1.2280506027764204,False,True,,1
778.6847,GnG-low,nogo,99661,3.3133959348106146,False,True,,1
780.1598,GnG-low,nogo,99849,-2.8893791082964526,False,True,,1
782.0279,GnG-high,go,100088,-3.740163853763079,True,True,0.2814469043939721,1
783.6609,GnG-low,nogo,100297,-3.453778376865557,False,True,,1
785.1917,GnG-low,nogo,100493,-2.903041259401107,False,True,,1
786.8815,GnG-low,nogo,100710,2.687996183794894,False,True,,1
788.4203,GnG-high,go,100907,3.058917585576637,True,True,0.3687037690743143,1
789.9143,GnG-low,nogo,101098,1.4152393017639042,False,True,,1
791.8889,GnG-low,nogo,101351,3.751988455292121,False,True,,1
793.3552,GnG-low,nogo,101538,-1.562546773129725,False,True,,1
795.117,GnG-low,nogo,101764,2.438951864178307,False,True,,1
796.4633,GnG-low,nogo,101936,0.15211938023185212,False,True,,1
798.0541,GnG-low,nogo,102140,3.3039583153140484,False,True,,1
799.6555,GnG-low,nogo,102345,3.542320796327658,False,True,,1
801.4651,GnG-low,nogo,102576,-1.2177969607591876,False,True,,1
803.2112,GnG-high,go,102800,2.8857323538886703,True,True,0.36237110104182985,1
804.74,GnG-high,go,102995,-2.2587585647215747,True,True,0.36885111169482093,1
806.4012,GnG-low,nogo,103208,1.1289687174667051,False,True,,1
807.8808,GnG-low,nogo,103397,-1.539779813469977,False,True,,1
809.8773,GnG-high,go,103653,1.7843251044951103,True,True,0.42326418103042085,1
811.494,GnG-low,nogo,103860,2.4467863610198037,False,True,,1
813.3084,GnG-low,nogo,104092,0.5639215904693629,False,True,,1
815.0,GnG-low,nogo,104308,-3.3803691039793193,False,True,,1
817.0735,GnG-low,nogo,104574,1.5234768784466723,False,True,,1
818.5205,GnG-low,nogo,104759,0.06973407164423406,False,True,,1
820.0893,GnG-low,nogo,104960,1.6425468417082811,False,True,,1
821.6572,GnG-low,nogo,105160,-3.5738411373813506,False,True,,1
823.5654,GnG-high,go,105405,2.5427791620131757,True,True,0.34920995451219994,1
825.1965,GnG-low,nogo,105613,-3.4292946311325068,False,True,,1
826.7144,GnG-low,nogo,105808,2.3801352916734686,False,True,,1
828.3928,GnG-low,nogo,106022,-3.7990102122194003,False,True,,1
830.1049,GnG-low,nogo,106242,2.8404667739323486,False,True,,1
831.6767,GnG-low,nogo,106443,1.5437883957929444,False,True,,1
833.5493,GnG-low,nogo,106682,-3.2523920975791043,False,True,,1
835.0266,GnG-high,go,106871,-3.7233942883858617,True,True,0.36249849589058747,1
836.7864,GnG-low,nogo,107097,1.7077731727113132,False,True,,1
838.6883,GnG-low,nogo,107340,-1.1056875430313085,False,True,,1
840.0197,GnG-low,nogo,107511,3.1361018235429583,False,True,,1
841.6703,GnG-high,go,107722,1.4544192215453222,True,True,0.31159073166629053,1
843.5156,GnG-low,nogo,107958,0.08745358968553774,False,True,,1
845.2587,GnG-low,nogo,108181,-0.6031980680063498,False,True,,1
846.5608,GnG-low,nogo,108348,2.032696305150239,False,True,,1
